SCIENTIFIC_NAME,COMMON_NAME,TAXON_ID,SPECIES_CODE,CATEGORY,TAXON_ORDER,COM_NAME_CODES,SCI_NAME_CODES,BANDING_CODES
Struthio camelus,Common Ostrich,TC000002,ostric2,species,3.0,COOS,STCA,
Struthio molybdophanes,Somali Ostrich,TC000003,ostric3,species,5.0,SOOS,STMO,
Rhea americana,Greater Rhea,TC000004,grerhe1,species,7.0,GRRH,RHAM,
Rhea pennata,Lesser Rhea,TC000005,lesrhe2,species,13.0,LERH,RHPE,
Nothocercus julius,Tawny-breasted Tinamou,TC000018,tabtin1,species,32.0,TBTI,NOJU,
Nothocercus bonapartei,Highland Tinamou,TC000019,higtin1,species,33.0,,NOBO,HITI
Nothocercus nigrocapillus,Hooded Tinamou,TC000022,hootin1,species,40.0,HOTI,NONI,
Tinamus tao,Gray Tinamou,TC000023,grytin1,species,43.0,GRTI,TITA,
Tinamus solitarius,Solitary Tinamou,TC000024,soltin1,species,48.0,SOTI,TISO,
Tinamus osgoodi,Black Tinamou,TC000025,blatin1,species,49.0,BLTI,TIOS,
Tinamus major,Great Tinamou,TC000026,gretin1,species,52.0,,TIMA,GRTI
Tinamus guttatus,White-throated Tinamou,TC000027,whttin1,species,65.0,WTTI,TIGU,
Crypturellus cinereus,Cinereous Tinamou,TC000029,cintin1,species,67.0,CITI,CRCI,
Crypturellus berlepschi,Berlepsch's Tinamou,TC000030,bertin1,species,68.0,BETI,CRBE,
Crypturellus soui,Little Tinamou,TC000031,littin1,species,69.0,,CRSO,LITI
Crypturellus ptaritepui,Tepui Tinamou,TC000032,teptin1,species,84.0,TETI,CRPT,
Crypturellus obsoletus,Brown Tinamou,TC000033,brotin1,species,85.0,BRTI,CROB,
Crypturellus undulatus,Undulated Tinamou,TC000034,undtin1,species,95.0,UNTI,CRUN,
Crypturellus transfasciatus,Pale-browed Tinamou,TC000035,pabtin1,species,102.0,PBTI,CRTR,
Crypturellus strigulosus,Brazilian Tinamou,TC000036,bratin1,species,103.0,BRTI,CRST,
Crypturellus duidae,Gray-legged Tinamou,TC000037,gyltin1,species,104.0,GLTI,CRDU,
Crypturellus erythropus,Red-legged Tinamou,TC000038,reltin1,species,105.0,RLTI,CRER,
Crypturellus noctivagus,Yellow-legged Tinamou,TC000039,yeltin1,species,113.0,YLTI,CRNO,
Crypturellus atrocapillus,Black-capped Tinamou,TC000040,blctin1,species,116.0,BCTI,CRAT,
Crypturellus boucardi,Slaty-breasted Tinamou,TC000041,slbtin1,species,119.0,,CRBO,SBTI
Crypturellus kerriae,Choco Tinamou,TC000042,chotin1,species,122.0,,CRKE,CHTI
Crypturellus variegatus,Variegated Tinamou,TC000043,vartin1,species,123.0,VATI,CRVA,
Crypturellus cinnamomeus,Thicket Tinamou,TC000044,thitin1,species,124.0,,CRCI,THTI
Crypturellus brevirostris,Rusty Tinamou,TC000045,rustin1,species,134.0,RUTI,CRBR,
Crypturellus bartletti,Bartlett's Tinamou,TC000046,bartin2,species,135.0,BATI,CRBA,
Crypturellus parvirostris,Small-billed Tinamou,TC000047,smbtin1,species,136.0,SBTI,CRPA,
Crypturellus casiquiare,Barred Tinamou,TC000048,bartin1,species,137.0,BATI,CRCA,
Crypturellus tataupa,Tataupa Tinamou,TC000049,tattin1,species,138.0,TATI,CRTA,
Rhynchotus rufescens,Red-winged Tinamou,TC000051,rewtin1,species,144.0,RWTI,RHRU,
Rhynchotus maculicollis,Huayco Tinamou,TC000052,huatin1,species,148.0,HUTI,RHMA,
Nothoprocta taczanowskii,Taczanowski's Tinamou,TC000053,tactin1,species,149.0,TATI,NOTA,
Nothoprocta ornata,Ornate Tinamou,TC000054,orntin1,species,150.0,ORTI,NOOR,
Nothoprocta perdicaria,Chilean Tinamou,TC000055,chitin1,species,154.0,CHTI,NOPE,
Nothoprocta cinerascens,Brushland Tinamou,TC000056,brutin1,species,157.0,BRTI,NOCI,
